Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Hulkenberg,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Stroll,Tsunoda,Verstappen,Zhou
20,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,3.0,12.0,5.0,4.0,16.0,,2.0,15.0
21,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,3.0,12.0,5.0,4.0,16.0,,2.0,15.0
22,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,4.0,12.0,5.0,3.0,16.0,,2.0,15.0
23,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,4.0,12.0,5.0,3.0,16.0,,2.0,15.0
24,17.0,8.0,10.0,14.0,6.0,9.0,,1.0,7.0,13.0,11.0,4.0,12.0,5.0,3.0,16.0,,2.0,15.0
25,17.0,8.0,9.0,14.0,7.0,10.0,,1.0,6.0,13.0,11.0,4.0,12.0,5.0,3.0,16.0,,2.0,15.0
26,17.0,8.0,9.0,14.0,6.0,12.0,,1.0,7.0,13.0,10.0,4.0,11.0,5.0,3.0,16.0,,2.0,15.0
27,17.0,8.0,9.0,14.0,6.0,12.0,,1.0,7.0,13.0,10.0,4.0,11.0,5.0,3.0,16.0,,2.0,15.0
28,17.0,8.0,9.0,14.0,6.0,12.0,,1.0,7.0,13.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,16.0
29,16.0,8.0,9.0,14.0,6.0,13.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
30,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
31,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
32,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
33,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
34,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
35,16.0,8.0,9.0,13.0,6.0,14.0,,1.0,7.0,12.0,10.0,4.0,11.0,5.0,3.0,15.0,,2.0,17.0
36,15.0,,9.0,12.0,6.0,13.0,,1.0,7.0,11.0,8.0,4.0,10.0,5.0,3.0,14.0,,2.0,16.0
37,13.0,,,10.0,6.0,11.0,,1.0,7.0,9.0,8.0,4.0,,5.0,3.0,12.0,,2.0,14.0
38,12.0,,,10.0,6.0,13.0,,1.0,7.0,9.0,8.0,4.0,,5.0,3.0,11.0,,2.0,14.0
39,11.0,,,9.0,6.0,14.0,,1.0,12.0,8.0,7.0,4.0,,5.0,3.0,10.0,,2.0,13.0
40,11.0,,,9.0,6.0,14.0,,1.0,12.0,8.0,7.0,4.0,,5.0,3.0,10.0,,2.0,13.0
41,11.0,,,9.0,6.0,14.0,,1.0,12.0,8.0,7.0,4.0,,5.0,3.0,10.0,,2.0,13.0
42,11.0,,,8.0,12.0,14.0,,1.0,10.0,7.0,6.0,4.0,,5.0,3.0,9.0,,2.0,13.0
43,11.0,,,8.0,12.0,14.0,,2.0,10.0,7.0,6.0,4.0,,5.0,3.0,9.0,,1.0,13.0
44,12.0,,,8.0,11.0,14.0,,1.0,9.0,7.0,6.0,4.0,,5.0,3.0,10.0,,2.0,13.0
45,12.0,,,8.0,11.0,14.0,,1.0,9.0,7.0,6.0,4.0,,5.0,3.0,10.0,,2.0,13.0
46,12.0,,,8.0,10.0,14.0,,1.0,9.0,7.0,6.0,4.0,,5.0,3.0,11.0,,2.0,13.0
47,12.0,,,8.0,10.0,14.0,,2.0,9.0,7.0,6.0,4.0,,5.0,3.0,11.0,,1.0,13.0
48,,,,8.0,10.0,13.0,,2.0,9.0,7.0,6.0,4.0,,5.0,3.0,11.0,,1.0,12.0
49,,,,8.0,10.0,12.0,,2.0,9.0,6.0,7.0,4.0,,5.0,3.0,13.0,,1.0,11.0
50,,,,8.0,10.0,12.0,,2.0,9.0,6.0,7.0,4.0,,5.0,3.0,,,1.0,11.0
