lap,Alonso,Bottas,De Vries,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
19,6.0,13.0,9.0,16.0,8.0,19.0,3.0,14.0,5.0,10.0,15.0,7.0,2.0,4.0,11.0,18.0,12.0,1.0,,17.0
20,6.0,9.0,14.0,13.0,7.0,19.0,3.0,11.0,5.0,16.0,10.0,12.0,2.0,4.0,8.0,17.0,18.0,1.0,,15.0
21,6.0,9.0,14.0,13.0,7.0,19.0,3.0,11.0,5.0,16.0,10.0,12.0,2.0,4.0,8.0,18.0,17.0,1.0,,15.0
22,6.0,10.0,14.0,13.0,7.0,19.0,3.0,11.0,5.0,16.0,9.0,12.0,2.0,4.0,8.0,18.0,17.0,1.0,,15.0
23,6.0,10.0,14.0,13.0,7.0,19.0,2.0,11.0,5.0,16.0,9.0,12.0,3.0,4.0,8.0,18.0,17.0,1.0,,15.0
24,6.0,10.0,13.0,12.0,7.0,18.0,2.0,14.0,5.0,16.0,8.0,11.0,4.0,3.0,9.0,19.0,17.0,1.0,,15.0
25,6.0,10.0,13.0,12.0,7.0,17.0,2.0,19.0,5.0,15.0,8.0,11.0,4.0,3.0,9.0,18.0,16.0,1.0,,14.0
26,6.0,10.0,13.0,12.0,7.0,17.0,1.0,19.0,5.0,15.0,8.0,11.0,4.0,3.0,9.0,18.0,16.0,2.0,,14.0
27,7.0,10.0,13.0,12.0,6.0,17.0,1.0,19.0,5.0,15.0,8.0,11.0,4.0,3.0,9.0,18.0,16.0,2.0,,14.0
28,7.0,10.0,13.0,12.0,6.0,17.0,1.0,19.0,5.0,15.0,8.0,11.0,4.0,3.0,9.0,18.0,16.0,2.0,,14.0
29,7.0,10.0,13.0,12.0,6.0,17.0,1.0,19.0,5.0,15.0,8.0,11.0,4.0,3.0,9.0,18.0,16.0,2.0,,14.0
30,7.0,10.0,13.0,12.0,6.0,17.0,1.0,19.0,5.0,15.0,8.0,11.0,3.0,4.0,9.0,18.0,16.0,2.0,,14.0
31,8.0,10.0,13.0,12.0,5.0,17.0,1.0,19.0,4.0,15.0,6.0,11.0,3.0,7.0,9.0,18.0,16.0,2.0,,14.0
32,,9.0,12.0,11.0,5.0,16.0,1.0,18.0,4.0,14.0,6.0,10.0,3.0,7.0,8.0,17.0,15.0,2.0,,13.0
33,,8.0,12.0,11.0,7.0,16.0,1.0,18.0,4.0,14.0,6.0,10.0,3.0,5.0,9.0,17.0,15.0,2.0,,13.0
34,,7.0,10.0,9.0,12.0,15.0,2.0,18.0,4.0,13.0,6.0,8.0,3.0,5.0,17.0,16.0,14.0,1.0,,11.0
35,,11.0,10.0,8.0,9.0,15.0,2.0,18.0,4.0,13.0,6.0,7.0,3.0,5.0,16.0,17.0,14.0,1.0,,12.0
36,,17.0,10.0,8.0,7.0,14.0,2.0,18.0,9.0,12.0,5.0,6.0,3.0,4.0,15.0,16.0,13.0,1.0,,11.0
37,,16.0,10.0,9.0,6.0,14.0,2.0,18.0,7.0,12.0,5.0,8.0,3.0,4.0,15.0,17.0,13.0,1.0,,11.0
38,,16.0,10.0,9.0,6.0,14.0,2.0,18.0,7.0,12.0,5.0,8.0,3.0,4.0,15.0,17.0,13.0,1.0,,11.0
39,,16.0,10.0,9.0,6.0,14.0,2.0,18.0,7.0,12.0,5.0,8.0,3.0,4.0,15.0,17.0,13.0,1.0,,11.0
40,,16.0,10.0,9.0,6.0,14.0,2.0,17.0,7.0,12.0,5.0,8.0,3.0,4.0,15.0,,13.0,1.0,,11.0
41,,16.0,10.0,9.0,6.0,15.0,2.0,17.0,7.0,12.0,5.0,8.0,3.0,4.0,14.0,,13.0,1.0,,11.0
42,,15.0,10.0,9.0,6.0,16.0,2.0,17.0,7.0,12.0,5.0,8.0,3.0,4.0,14.0,,13.0,1.0,,11.0
43,,15.0,10.0,9.0,5.0,16.0,2.0,17.0,6.0,12.0,7.0,8.0,3.0,4.0,14.0,,13.0,1.0,,11.0
44,,15.0,10.0,9.0,5.0,16.0,2.0,17.0,6.0,12.0,7.0,8.0,3.0,4.0,14.0,,13.0,1.0,,11.0
45,,15.0,10.0,9.0,5.0,16.0,2.0,17.0,6.0,12.0,7.0,8.0,3.0,4.0,13.0,,14.0,1.0,,11.0
46,,14.0,9.0,8.0,5.0,15.0,2.0,16.0,6.0,11.0,7.0,,3.0,4.0,12.0,,13.0,1.0,,10.0
47,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,6.0,11.0,7.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
48,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,7.0,11.0,6.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
49,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,7.0,11.0,6.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
50,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,7.0,11.0,6.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
51,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,7.0,11.0,6.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
52,,13.0,9.0,8.0,5.0,15.0,2.0,16.0,7.0,11.0,6.0,,3.0,4.0,12.0,,14.0,1.0,,10.0
53,,,9.0,8.0,5.0,,2.0,,7.0,11.0,6.0,,3.0,4.0,12.0,,,1.0,,10.0
